sensitivity,position,condition,axis,case_minus_control_mean,ci_low,ci_high,prompt_n,macro_auc,auc_ci_low,auc_ci_high,auc_prompt_n
unrestricted,assistant_token_8,identity_off,P1,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,0.875,0.875,0.875,1
unrestricted,assistant_token_8,identity_off,P2,1.1666666666666667,1.1666666666666667,1.1666666666666667,1,0.875,0.875,0.875,1
unrestricted,assistant_token_8,identity_off,V1,0.0,0.0,0.0,1,0.5,0.5,0.5,1
unrestricted,assistant_token_8,identity_off,V2,0.41666666666666674,0.41666666666666674,0.41666666666666674,1,1.0,1.0,1.0,1
unrestricted,assistant_token_8,identity_off,H,0.1333333333333333,0.1333333333333333,0.1333333333333333,1,0.5,0.5,0.5,1
unrestricted,assistant_token_8,identity_on,P1,0.08020833333333333,-0.29305555555555557,0.4979166666666667,8,0.46718750000000003,0.30311197916666666,0.6145833333333334,8
unrestricted,assistant_token_8,identity_on,P2,-0.11222222222222222,-0.21777777777777776,-0.006666666666666665,5,0.38333333333333336,0.25,0.5,5
unrestricted,assistant_token_8,identity_on,V1,1.181986531986532,0.45189393939393935,1.8407407407407408,10,0.8367297979797981,0.6263888888888889,0.9777777777777779,10
unrestricted,assistant_token_8,identity_on,V2,1.1412962962962963,0.6388842592592594,1.6018518518518519,10,0.8220833333333333,0.6599999999999999,0.9458333333333334,10
unrestricted,assistant_token_8,identity_on,H,0.7746512746512746,0.41471320346320345,1.150242905242905,11,0.8071146413110699,0.6780113636363636,0.924860853432282,11
unrestricted,assistant_token_32,identity_off,P1,0.2666666666666667,0.2666666666666667,0.2666666666666667,1,0.6,0.6,0.6,1
unrestricted,assistant_token_32,identity_off,P2,0.16666666666666663,0.16666666666666663,0.16666666666666663,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
unrestricted,assistant_token_32,identity_off,V1,1.25,1.25,1.25,1,0.8125,0.8125,0.8125,1
unrestricted,assistant_token_32,identity_off,V2,0.5416666666666667,0.5416666666666667,0.5416666666666667,1,0.875,0.875,0.875,1
unrestricted,assistant_token_32,identity_off,H,0.4666666666666667,0.4666666666666667,0.4666666666666667,1,0.7,0.7,0.7,1
unrestricted,assistant_token_32,identity_on,P1,0.8479938271604939,0.3274652777777778,1.3757754629629628,9,0.7180555555555556,0.5375000000000001,0.8824074074074074,9
unrestricted,assistant_token_32,identity_on,P2,0.6,0.6,0.6,1,0.9,0.9,0.9,1
unrestricted,assistant_token_32,identity_on,V1,0.7802815570672715,0.193452380952381,1.5243846844293272,7,0.7514880952380952,0.5744047619047619,0.9107142857142857,7
unrestricted,assistant_token_32,identity_on,V2,0.3502204585537918,-9.369488536158322e-05,0.6916016313932977,9,0.6613271604938271,0.4522206790123457,0.8373148148148148,9
unrestricted,assistant_token_32,identity_on,H,0.21814574314574314,-0.08704906204906206,0.5610497835497834,11,0.5901418521954237,0.46835238546176045,0.7111649659863946,11
coherence_2_and_on_prompt,assistant_token_8,identity_off,P1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_off,P2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_off,V1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_off,V2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_off,H,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_on,P1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_on,P2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_on,V1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_on,V2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_8,identity_on,H,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_off,P1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_off,P2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_off,V1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_off,V2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_off,H,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_on,P1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_on,P2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_on,V1,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_on,V2,,,,0,,,,0
coherence_2_and_on_prompt,assistant_token_32,identity_on,H,,,,0,,,,0
